t: 12045.366666666669, y: 672, p: [0]
t: 12078.733333333334, y: 676, p: [0]
t: 12112.1, y: 677, p: [0]
t: 12145.466666666667, y: 677, p: [0]
t: 12178.833333333334, y: 677, p: [0]
t: 12212.2, y: 678, p: [0]
t: 12245.566666666668, y: 679, p: [0]
t: 12278.933333333334, y: 679, p: [0]
t: 12312.300000000001, y: 682, p: [4]
t: 12345.666666666668, y: 682, p: [4]
t: 12379.033333333335, y: 682, p: [4]
t: 12412.4, y: 674, p: [0]
t: 12445.766666666668, y: 668, p: [10]
t: 12479.133333333333, y: 672, p: [0]
t: 12512.500000000002, y: 677, p: [0]
t: 12545.866666666667, y: 682, p: [4]
t: 12579.233333333335, y: 682, p: [0]
t: 12612.6, y: 686, p: [4]
t: 12645.966666666669, y: 686, p: [4]
t: 12679.333333333334, y: 686, p: [4]
t: 12712.7, y: 686, p: [4]
t: 12746.066666666668, y: 686, p: [4]
t: 12779.433333333334, y: 686, p: [4]
t: 12812.800000000001, y: 686, p: [4]
t: 12846.166666666666, y: 686, p: [4]
t: 12879.533333333335, y: 686, p: [4]
t: 12912.9, y: 686, p: [4]
t: 12946.266666666668, y: 687, p: [4]
t: 12979.633333333333, y: 686, p: [4]
t: 13013.0, y: 687, p: [10]
t: 13046.366666666667, y: 687, p: [4]
t: 13079.733333333334, y: 688, p: [4]
t: 13113.1, y: 695, p: [22]
t: 13146.466666666667, y: 699, p: [8]
t: 13179.833333333334, y: 697, p: [0]
t: 13213.2, y: 701, p: [0]
t: 13246.566666666668, y: 686, p: [10]
t: 13279.933333333334, y: 685, p: [4]
t: 13313.3, y: 680, p: [0]
t: 13346.666666666668, y: 689, p: [4]
t: 13380.033333333333, y: 689, p: [4]
t: 13413.400000000001, y: 683, p: [0]
t: 13446.766666666666, y: 676, p: [10]
t: 13480.133333333335, y: 675, p: [10]
t: 13513.5, y: 680, p: [10]
t: 13546.866666666669, y: 686, p: [4]
t: 13580.233333333334, y: 691, p: [4]
t: 13613.6, y: 692, p: [4]
t: 13646.966666666667, y: 692, p: [4]
t: 13680.333333333334, y: 692, p: [4]
t: 13713.7, y: 692, p: [4]
t: 13747.066666666668, y: 692, p: [4]
t: 13780.433333333334, y: 693, p: [4]
t: 13813.800000000001, y: 693, p: [4]
t: 13847.166666666668, y: 693, p: [4]
t: 13880.533333333335, y: 692, p: [4]
t: 13913.9, y: 692, p: [4]
t: 13947.266666666668, y: 692, p: [4]
t: 13980.633333333333, y: 693, p: [4]
t: 14014.000000000002, y: 693, p: [4]
